,Neighbor,V,AS,MRcvd,Msent,TblVer,In,Out,UPDown,StatePfxRcd
0,10.99.132.5,4,64940,340872,340446,1522,0,0,12w6d,3
1,10.162.128.102,4,64970,99524,99515,1522,0,0,2w3d,1
